id,type,center,bound,centroid,boundary_points,demand,envy,subsidy,Envies,Subsidies
30,centre,"(32.06809699999999, 118.858373)","(32.02809699999999, 32.10809699999999, 118.803373, 118.91337299999999)","(118.858373, 32.06809699999999)","[(118.803373, 32.02809699999999), (118.803373, 32.10809699999999), (118.91337299999999, 32.10809699999999), (118.91337299999999, 32.02809699999999), (118.803373, 32.02809699999999)]",0,0,0,[],[]
31,suburb,"(32.06809699999999, 118.96837299999999)","(32.02809699999999, 32.10809699999999, 118.91337299999999, 119.02337299999999)","(118.96837299999999, 32.06809699999999)","[(118.91337299999999, 32.02809699999999), (118.91337299999999, 32.10809699999999), (119.02337299999999, 32.10809699999999), (119.02337299999999, 32.02809699999999), (118.91337299999999, 32.02809699999999)]",0,0,0,[],[]
32,suburb,"(32.06717888020279, 119.05774812081705)","(32.02809699999999, 32.10809699999999, 119.02337299999999, 119.100178)","(119.05774812081705, 32.06717888020279)","[(119.057668, 32.102245), (119.060566, 32.104043), (119.069261, 32.107917), (119.07555, 32.108083), (119.079783, 32.107322), (119.081119, 32.100667), (119.082954, 32.097001), (119.086397, 32.092241), (119.089752, 32.089695), (119.094548, 32.091839), (119.098869, 32.091037), (119.100178, 32.088823), (119.10016, 32.085944), (119.098509, 32.07162), (119.092835, 32.06034), (119.086617, 32.05321), (119.087732, 32.045624), (119.092668, 32.037621), (119.092334, 32.032221), (119.0948730480701, 32.02809699999999), (119.02337299999999, 32.02809699999999), (119.02337299999999, 32.10809699999999), (119.04635688423579, 32.10809699999999), (119.046443, 32.107793), (119.04649492042697, 32.10809699999999), (119.05021604740836, 32.10809699999999), (119.051362, 32.105496), (119.050141, 32.104417), (119.055674, 32.104002), (119.057668, 32.102245)]",0,0,0,[],[]
33,suburb,"(32.14649637391272, 118.5392738951229)","(32.10809699999999, 32.188096999999985, 118.473373, 118.583373)","(118.5392738951229, 32.14649637391272)","[(118.473617, 32.110006), (118.473373, 32.111236579945846), (118.473373, 32.11581794002123), (118.477139, 32.117588), (118.482119, 32.116979), (118.486072, 32.119441), (118.489479, 32.120728), (118.49453, 32.121613), (118.499114, 32.120382), (118.500713, 32.122194), (118.49756, 32.125445), (118.494696, 32.130964), (118.49503, 32.132886), (118.498183, 32.133619), (118.499053, 32.135224), (118.497744, 32.138433), (118.499211, 32.141282), (118.500607, 32.14171), (118.507458, 32.137893), (118.505482, 32.143522), (118.498385, 32.160863), (118.495627, 32.165191), (118.496172, 32.172228), (118.495592, 32.177053), (118.496831, 32.178574), (118.506466, 32.182113), (118.508372, 32.184255), (118.50736437379868, 32.188096999999985), (118.583373, 32.188096999999985), (118.583373, 32.10809699999999), (118.473373, 32.10809699999999), (118.473373, 32.109859566122864), (118.473617, 32.110006)]",0,0,0,[],[]
34,suburb,"(32.14809699999999, 118.638373)","(32.10809699999999, 32.188096999999985, 118.583373, 118.693373)","(118.638373, 32.14809699999999)","[(118.583373, 32.10809699999999), (118.583373, 32.188096999999985), (118.693373, 32.188096999999985), (118.693373, 32.10809699999999), (118.583373, 32.10809699999999)]",0,0,0,[],[]
35,centre,"(32.14809699999999, 118.74837300000002)","(32.10809699999999, 32.188096999999985, 118.693373, 118.803373)","(118.74837300000002, 32.14809699999999)","[(118.693373, 32.10809699999999), (118.693373, 32.188096999999985), (118.803373, 32.188096999999985), (118.803373, 32.10809699999999), (118.693373, 32.10809699999999)]",0,0,0,[],[]
36,centre,"(32.14809699999999, 118.858373)","(32.10809699999999, 32.188096999999985, 118.803373, 118.91337299999999)","(118.858373, 32.14809699999999)","[(118.803373, 32.10809699999999), (118.803373, 32.188096999999985), (118.91337299999999, 32.188096999999985), (118.91337299999999, 32.10809699999999), (118.803373, 32.10809699999999)]",0,0,0,[],[]
37,suburb,"(32.14865648781401, 118.96734222482442)","(32.10809699999999, 32.188096999999985, 118.91337299999999, 119.02337299999999)","(118.96734222482442, 32.14865648781401)","[(119.022378, 32.130895), (119.020516, 32.12893), (119.016028, 32.128488), (119.009239, 32.124684), (119.009704, 32.121641), (119.008887, 32.115941), (119.016976, 32.114987), (119.018092, 32.114157), (119.020771, 32.115263), (119.02193, 32.114254), (119.02337299999999, 32.11477348), (119.02337299999999, 32.10809699999999), (118.91337299999999, 32.10809699999999), (118.91337299999999, 32.188096999999985), (119.02337299999999, 32.188096999999985), (119.02337299999999, 32.13291482986939), (119.022378, 32.130895)]",0,0,0,[],[]
38,suburb,"(32.19289242879032, 118.55578008272069)","(32.188096999999985, 32.202584, 118.507335, 118.583373)","(118.55578008272069, 32.19289242879032)","[(118.507335, 32.188209), (118.508415, 32.193185), (118.509829, 32.194305), (118.518323, 32.18908), (118.521045, 32.188278), (118.524646, 32.189038), (118.527879, 32.191347), (118.530988, 32.195466), (118.532375, 32.195797), (118.539613, 32.192425), (118.548158, 32.194899), (118.549125, 32.198037), (118.551698, 32.199626), (118.558619, 32.197055), (118.561728, 32.196889), (118.569633, 32.201257), (118.574938, 32.202584), (118.577994, 32.199778), (118.580875, 32.198672), (118.583373, 32.19888812767195), (118.583373, 32.188096999999985), (118.50736437379868, 32.188096999999985), (118.507335, 32.188209)]",0,0,0,[],[]
39,suburb,"(32.21568968432821, 118.66039402915658)","(32.188096999999985, 32.26809699999998, 118.583373, 118.693373)","(118.66039402915658, 32.21568968432821)","[(118.587752, 32.199267), (118.590106, 32.200414), (118.591977, 32.19964), (118.59195, 32.196309), (118.594067, 32.194982), (118.594866, 32.196696), (118.598336, 32.199502), (118.608454, 32.201768), (118.616209, 32.205293), (118.619652, 32.205458), (118.626599, 32.202515), (118.628856, 32.202321), (118.631632, 32.203689), (118.637218, 32.207739), (118.644121, 32.209978), (118.650542, 32.218131), (118.663514, 32.231078), (118.66751, 32.235927), (118.674897, 32.251054), (118.675828, 32.253831), (118.674466, 32.256262), (118.667431, 32.257546), (118.664375, 32.259121), (118.660106, 32.263209), (118.659246, 32.26611), (118.66036309481386, 32.26809699999998), (118.693373, 32.26809699999998), (118.693373, 32.188096999999985), (118.583373, 32.188096999999985), (118.583373, 32.19888812767195), (118.587752, 32.199267)]",0,0,0,[],[]
40,suburb,"(32.228096999999984, 118.74837300000002)","(32.188096999999985, 32.26809699999998, 118.693373, 118.803373)","(118.74837300000002, 32.228096999999984)","[(118.693373, 32.188096999999985), (118.693373, 32.26809699999998), (118.803373, 32.26809699999998), (118.803373, 32.188096999999985), (118.693373, 32.188096999999985)]",0,0,0,[],[]
41,suburb,"(32.228096999999984, 118.858373)","(32.188096999999985, 32.26809699999998, 118.803373, 118.91337299999999)","(118.858373, 32.228096999999984)","[(118.803373, 32.188096999999985), (118.803373, 32.26809699999998), (118.91337299999999, 32.26809699999998), (118.91337299999999, 32.188096999999985), (118.803373, 32.188096999999985)]",0,0,0,[],[]
42,suburb,"(32.228096999999984, 118.96837299999999)","(32.188096999999985, 32.26809699999998, 118.91337299999999, 119.02337299999999)","(118.96837299999999, 32.228096999999984)","[(118.91337299999999, 32.188096999999985), (118.91337299999999, 32.26809699999998), (119.02337299999999, 32.26809699999998), (119.02337299999999, 32.188096999999985), (118.91337299999999, 32.188096999999985)]",0,0,0,[],[]
43,suburb,"(32.307462977436735, 118.74951103899221)","(32.26809699999998, 32.34809699999998, 118.693373, 118.803373)","(118.74951103899221, 32.307462977436735)","[(118.693684, 32.317266), (118.696327, 32.317721), (118.696538, 32.320564), (118.693376, 32.3224), (118.693373, 32.32240010688296), (118.693373, 32.330059691853606), (118.698585, 32.328749), (118.703222, 32.328956), (118.706946, 32.332241), (118.708184, 32.336616), (118.707903, 32.338396), (118.704812, 32.340342), (118.700051, 32.341225), (118.697531, 32.342646), (118.6966, 32.345075), (118.69725, 32.347062), (118.69825832274933, 32.34809699999998), (118.803373, 32.34809699999998), (118.803373, 32.26809699999998), (118.693373, 32.26809699999998), (118.693373, 32.31730914879836), (118.693684, 32.317266)]",0,0,0,[],[]
44,suburb,"(32.30809699999998, 118.858373)","(32.26809699999998, 32.34809699999998, 118.803373, 118.91337299999999)","(118.858373, 32.30809699999998)","[(118.803373, 32.26809699999998), (118.803373, 32.34809699999998), (118.91337299999999, 32.34809699999998), (118.91337299999999, 32.26809699999998), (118.803373, 32.26809699999998)]",0,0,0,[],[]
45,suburb,"(32.38853053340724, 118.74952141639515)","(32.34809699999998, 32.42809699999998, 118.693373, 118.803373)","(118.74952141639515, 32.38853053340724)","[(118.699858, 32.349739), (118.694386, 32.350222), (118.693373, 32.35123568677966), (118.693373, 32.35296828083491), (118.694492, 32.356045), (118.696099, 32.356969), (118.702045, 32.357935), (118.702229, 32.359563), (118.699691, 32.361646), (118.69609, 32.367979), (118.698093, 32.369), (118.703073, 32.367703), (118.703512, 32.37209), (118.702388, 32.373111), (118.698022, 32.373552), (118.697372, 32.375607), (118.700921, 32.376794), (118.701746, 32.379525), (118.698769, 32.38318), (118.696196, 32.383828), (118.693894, 32.382325), (118.693373, 32.38096924357475), (118.693373, 32.42809699999998), (118.803373, 32.42809699999998), (118.803373, 32.34809699999998), (118.69825832274933, 32.34809699999998), (118.699858, 32.349739)]",0,0,0,[],[]
46,suburb,"(32.38809699999999, 118.858373)","(32.34809699999998, 32.42809699999998, 118.803373, 118.91337299999999)","(118.858373, 32.38809699999999)","[(118.803373, 32.34809699999998), (118.803373, 32.42809699999998), (118.91337299999999, 32.42809699999998), (118.91337299999999, 32.34809699999998), (118.803373, 32.34809699999998)]",0,0,0,[],[]
